,event_id,norm_overrun_location,true_overrun_location,overrun_probability,number_of_events,number_of_waves,avg_overrun_period,avg_wave_period,norm_overrun_period,overrun_time,overrun_datetime,run_id,run_datetime,location,location_name
111,1,0.06755455740596306,34.86666901876929,0.32432432432432434,12,37.0,25.0,8.108108108108109,3.083333333333333,22.507016469516387,2014-08-16 09:00:22,0,2014-08-16 09:00:00,WerriBeach,Werri Beach
112,2,0.23127180940401404,40.175941994893634,0.32432432432432434,12,37.0,25.0,8.108108108108109,3.083333333333333,21.56344204543336,2014-08-16 09:00:21,0,2014-08-16 09:00:00,WerriBeach,Werri Beach
113,3,0.06755455740596306,34.86666901876929,0.32432432432432434,12,37.0,25.0,8.108108108108109,3.083333333333333,22.507016469516387,2014-08-16 09:00:22,0,2014-08-16 09:00:00,WerriBeach,Werri Beach
114,4,0.23127180940401404,40.175941994893634,0.32432432432432434,12,37.0,25.0,8.108108108108109,3.083333333333333,21.56344204543336,2014-08-16 09:00:21,0,2014-08-16 09:00:00,WerriBeach,Werri Beach
115,5,0.04725144330793718,41.24264303748607,0.32432432432432434,12,37.0,25.0,8.108108108108109,3.083333333333333,89.86480376999147,2014-08-16 09:01:29,0,2014-08-16 09:00:00,WerriBeach,Werri Beach
116,6,0.32322756002402253,48.18869308033244,0.32432432432432434,12,37.0,25.0,8.108108108108109,3.083333333333333,125.90555408898085,2014-08-16 09:02:05,0,2014-08-16 09:00:00,WerriBeach,Werri Beach
117,7,0.32322756002402253,48.18869308033244,0.32432432432432434,12,37.0,25.0,8.108108108108109,3.083333333333333,125.90555408898085,2014-08-16 09:02:05,0,2014-08-16 09:00:00,WerriBeach,Werri Beach
118,8,0.09413965940002378,36.16856425059592,0.32432432432432434,12,37.0,25.0,8.108108108108109,3.083333333333333,229.0861459503036,2014-08-16 09:03:49,0,2014-08-16 09:00:00,WerriBeach,Werri Beach
119,9,0.09413965940002378,36.16856425059592,0.32432432432432434,12,37.0,25.0,8.108108108108109,3.083333333333333,229.0861459503036,2014-08-16 09:03:49,0,2014-08-16 09:00:00,WerriBeach,Werri Beach
120,10,0.0006606277488172552,31.74255878150545,0.32432432432432434,12,37.0,25.0,8.108108108108109,3.083333333333333,285.2129940839776,2014-08-16 09:04:45,0,2014-08-16 09:00:00,WerriBeach,Werri Beach
121,11,-0.014818352991886885,21.934410572758303,0.32432432432432434,12,37.0,25.0,8.108108108108109,3.083333333333333,288.70410495794164,2014-08-16 09:04:48,0,2014-08-16 09:00:00,WerriBeach,Werri Beach
122,12,-0.014818352991886885,21.934410572758303,0.32432432432432434,12,37.0,25.0,8.108108108108109,3.083333333333333,288.70410495794164,2014-08-16 09:04:48,0,2014-08-16 09:00:00,WerriBeach,Werri Beach
123,1,0.02680796780647865,37.49055925511225,0.2,7,35.0,42.857142857142854,8.571428571428571,5.0,32.43482029395814,2014-08-16 09:05:32,1,2014-08-16 09:05:00,WerriBeach,Werri Beach
124,2,0.018452268191285093,28.743891269566756,0.2,7,35.0,42.857142857142854,8.571428571428571,5.0,61.03532344848993,2014-08-16 09:06:01,1,2014-08-16 09:05:00,WerriBeach,Werri Beach
125,3,0.00807815192497885,28.878670098248072,0.2,7,35.0,42.857142857142854,8.571428571428571,5.0,75.66486247995522,2014-08-16 09:06:15,1,2014-08-16 09:05:00,WerriBeach,Werri Beach
